component,purpose,planned_usage,license,linking_or_boundary,status,official_source,notes
Qt 6,Desktop UI and multimedia utilities,Dynamic linking of eligible modules,LGPL-3.0 or commercial,Dynamic library,APPROVED_WITH_OBLIGATIONS,https://www.qt.io/licensing/open-source-lgpl-obligations,"Verify every Qt module; provide notices and relinking rights or buy commercial license"
FFmpeg,Decode encode mux remux resample,Custom fixed LGPL build,LGPL-2.1-or-later,Dynamic libraries,APPROVED_WITH_OBLIGATIONS,https://ffmpeg.org/legal.html,"No --enable-gpl; no --enable-nonfree; record configure flags and source archive"
MLT Framework,Timeline preview and render,"Pinned framework plus core and avformat modules behind adapter",LGPL-2.1 core; plugins vary,Dynamic libraries,APPROVED_WITH_PLUGIN_WHITELIST,https://www.mltframework.org/docs/copyrightpolicy/,"Pinned v7.40.0 commit bef9d89c0c279e558d9625dac3399c2aa3d961bc; source archive SHA-256 49070c3aa84af719de77875d44a62a1c115aff923aff60657fe6dbaaef877601; GPL/GPL3 OFF; only core and avformat; melt excluded; reuse audited LGPL FFmpeg 8.1.2"
MediaPipe,Face hand pose tracking,In-process or worker adapter,Apache-2.0,Library/worker,APPROVED,https://github.com/google-ai-edge/mediapipe,"Check model and third-party notices separately"
OpenSeeFace,CPU face tracking,Optional worker,BSD-2-Clause,Separate worker preferred,APPROVED,https://github.com/emilianavt/OpenSeeFace,"Repository states code and models BSD-2-Clause; recheck bundled third parties"
Inochi2D,Realtime 2D puppet animation,"Default-OFF Windows x64 source-built dynamic C FFI behind audited runtime manifest",BSD-2-Clause,Dynamic library adapter,APPROVED_WITH_PRE_RELEASE_PIN,https://github.com/Inochi2D/inochi2d,"Windows x64 only; Mach-O and ELF remain unsupported until bounded binary parsers and physical builds exist; pinned signed Nightly commit 66fa76834b28037db0c871c656563422f697879e; manifest version 0.8.7-nightly+66fa768; immutable commit archive SHA-256 79f1f51641380ac992b5ecca2ab49245f111517ca4185ca832ffb0460f6cd4fb; exact LDC 1.40.0 and commit-date DUB dependency lock; v0.8.7 tag rejected because it lacks the C FFI; model assets retain creator-specific licenses"
Inochi2D imagefmt,Image decoding linked into Inochi2D C FFI,Pinned DUB 2.1.2 archive compiled into dynamic runtime,BSD-2-Clause,Static code inside Inochi2D dynamic library,APPROVED_WITH_NOTICE,https://code.dlang.org/packages/imagefmt/2.1.2,"Archive SHA-256 10f4182efc4fc3846561ca702b3207493f736639498b2dc61a3adcee2bb18736; verbatim LICENSE included in staged THIRD_PARTY_NOTICES.txt"
Inochi2D inmath,Math primitives linked into Inochi2D C FFI,Pinned DUB 1.3.0 archive compiled into dynamic runtime,MIT,Static code inside Inochi2D dynamic library,APPROVED_WITH_NOTICE,https://code.dlang.org/packages/inmath/1.3.0,"Archive SHA-256 865fa85d6c07c5f23207cdf9987207d95547e8303009cd0a028b8e7aa9d5aeae; verbatim LICENSE included in staged THIRD_PARTY_NOTICES.txt"
Inochi2D intel-intrinsics,SIMD primitives linked into Inochi2D C FFI,Pinned DUB 1.12.1 archive compiled into dynamic runtime,BSL-1.0,Static code inside Inochi2D dynamic library,APPROVED_WITH_NOTICE,https://code.dlang.org/packages/intel-intrinsics/1.12.1,"Archive SHA-256 4e056612b6ebe819fef2e45c19d78427b7e67b3c8650445e7379ed2b30f61519; verbatim COPYING included in staged THIRD_PARTY_NOTICES.txt"
Inochi2D nulib,No-GC utility library linked into Inochi2D C FFI,Pinned DUB 0.3.5 archive compiled into dynamic runtime,BSL-1.0,Static code inside Inochi2D dynamic library,APPROVED_WITH_NOTICE,https://code.dlang.org/packages/nulib/0.3.5,"Archive SHA-256 e4b56c28cd3264c72ba18e21889b9dddd1927b83828d92ebe6b49d559b22e597; verbatim LICENSE included in staged THIRD_PARTY_NOTICES.txt"
Inochi2D numem,Memory utilities linked into Inochi2D C FFI,Pinned DUB 1.3.2 archive compiled into dynamic runtime,BSL-1.0,Static code inside Inochi2D dynamic library,APPROVED_WITH_NOTICE,https://code.dlang.org/packages/numem/1.3.2,"Archive SHA-256 771688ea0ac4990e8576de4cdcdb381449d78d9edf7a6a7d55adeccfe46d94cc; verbatim LICENSE included in staged THIRD_PARTY_NOTICES.txt"
Inochi2D silly,Transitive assertion utility selected by pinned Inochi2D dependency graph,Pinned DUB 1.1.1 archive locked with runtime dependency graph,ISC,Build dependency recorded with Inochi2D dynamic library,APPROVED_WITH_NOTICE,https://code.dlang.org/packages/silly/1.1.1,"Archive SHA-256 ffb78e740db5ab36c216c349ec36548a91c66fd1b69b980c1fd3e912ce8ae73b; verbatim LICENSE included in staged THIRD_PARTY_NOTICES.txt"
Inochi2D LDC runtime,D language runtime and standard library required by the Windows C FFI,"Exact LDC 1.40.0 druntime and Phobos shared DLLs staged beside Inochi2D",BSL-1.0,Dynamic runtime libraries,APPROVED_WITH_NOTICE,https://github.com/ldc-developers/ldc/releases/tag/v1.40.0,"Portable archive SHA-256 57acfce11e746719e23fbc0dc116782d14208edcb468793c0476134594befd9f; druntime DLL SHA-256 f33033d32bb3f18c031fce39d02b9268389b121eb204f6237009e7cabbcf45ad; Phobos DLL SHA-256 25f313915a3b3b369eb65e529489459f7ebd24306edee3ef8d4bd4a9b7b3d4d4; LDC distribution LICENSE SHA-256 528d3ccc8e94a99615943925ecef85b37334267da5b1c507775b9fbe8e972a7a appended verbatim to staged THIRD_PARTY_NOTICES.txt"
whisper.cpp,Local speech transcription,"Pinned MIT engine behind cs_whisper_adapter (Qt-free), built only when CS_ENABLE_WHISPER is ON",MIT,Dynamic library inside cs_whisper_adapter,APPROVED,https://github.com/ggml-org/whisper.cpp,"Pinned v1.7.6; CPU-only adapter; runtime re-verified by WhisperRuntimeManifest"
